무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
G5495,서울특별시,강서구,특별시도,,강서로,2.0,서울특별시 강서구 강서로 328,,37.55492273,126.8373958,우장산공원입구사거리,2,50,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G5496,서울특별시,강서구,특별시도,,강서로45길,1.0,서울특별시 강서구 강서로45길 118,,37.55046015,126.831714,발산초교 건너편,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G5464,서울특별시,강서구,특별시도,,양천로,1.0,서울특별시 강서구 양천로 350,,37.56802011,126.8414787,양천향교역 교차로,2,50,,,,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G4670,서울특별시,강서구,특별시도,,강서로,2.0,서울특별시 강서구 강서로 511,,37.57101654,126.8414692,대아아파트 앞 교차로,2,50,,,,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G4671,서울특별시,강서구,특별시도,,강서로,2.0,서울특별시 강서구 강서로 247,,37.54773,126.8360362,우장산역 교차로,2,50,,,,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G4672,서울특별시,강서구,일반국도,6,공항대로,1.0,서울특별시 강서구 공항대로 382,,37.55639584,126.8495472,KBS스포츠월드입구 교차로,2,50,,,,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G4673,서울특별시,강서구,일반국도,6,공항대로,1.0,서울특별시 강서구 공항대로 124,,37.55941461,126.8208132,마곡엠벨리 1102동 앞 교차로,2,50,,,,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G3537,서울특별시,강서구,특별시도,,우현로,2.0,서울특별시 강서구 우현로 17,,37.54725959,126.843481,우장산휴먼빌아파트 앞,2,30,,,2.0,2019.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G2633,서울특별시,강서구,일반국도,6,공항대로,1.0,서울특별시 강서구 공항대로 376,,37.55684827,126.8471933,KBS스포츠월드입구 건너편,2,50,,,,2019.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G2634,서울특별시,강서구,특별시도,,방화대로34길,1.0,서울특별시 강서구 방화대로34길 2,,37.56815047,126.8180329,공항중학교 건너편,2,50,,,,2019.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G1981,서울특별시,강서구,특별시도,,하늘길,2.0,서울특별시 강서구 하늘길 78,,37.56090185,126.7997108,한국공항공사입구 교차로,2,30,,,,2019.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G1982,서울특별시,강서구,특별시도,,하늘길,2.0,서울특별시 강서구 하늘길 38,,37.57136985,126.8029604,서울김포비지니스항공센터 앞,2,40,,,,2019.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G1983,서울특별시,강서구,특별시도,,하늘길,2.0,서울특별시 강서구 하늘길 210,,37.55325498,126.8093237,김포세관화물청사 B게이트 앞,1,40,,,,2019.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G1951,서울특별시,강서구,특별시도,,남부순환로,1.0,서울특별시 강서구 남부순환로 223,,37.545878,126.821914,서울자동차운전전문학원 건너편,1,50,,,,2019.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
H1045,서울특별시,강서구,특별시도,,강서로,1.0,서울특별시 강서구 강서로 132,,37.53892662,126.8426011,화곡터널입구 교차로,2,50,,,,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
H1046,서울특별시,강서구,일반국도,6,공항대로,2.0,서울특별시 강서구 공항대로 591,,37.54807449,126.8708478,서울중앙혈액원 앞,2,50,,,,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
H1002,서울특별시,강서구,특별시도,,양천로67길,2.0,서울특별시 강서구 양천로67길 77,,37.55553061,126.870358,염경초교 건너편,1,30,,,2.0,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G9204,서울특별시,강서구,특별시도,,등촌로13자길,1.0,서울특별시 강서구 등촌로13자길 47,,37.53773198,126.855427,신곡초교 건너편,1,30,,,,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G9205,서울특별시,강서구,특별시도,,가로공원로76길,2.0,서울특별시 강서구 가로공원로76길 56,,37.53453435,126.8378185,화곡대림아파트 앞,2,30,,,,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G9206,서울특별시,강서구,특별시도,,강서로56나길,1.0,서울특별시 강서구 강서로56나길 34,,37.56081,126.8423822,등명초교 앞,2,30,,,,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G9207,서울특별시,강서구,특별시도,,공항대로43길,2.0,서울특별시 강서구 등촌동 704-1,서울특별시 강서구 등촌동 704-1,37.55981354,126.850069,등원초교 앞,2,30,,,,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G9208,서울특별시,강서구,특별시도,,등촌로39길,1.0,서울특별시 강서구 등촌로39길 50,,37.546651,126.8602321,능안공원 앞,1,30,,,,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G9209,서울특별시,강서구,특별시도,,양천로,1.0,서울특별시 강서구 양천로 623,,37.55448291,126.8672587,한마음삼성아파트 앞,2,50,,,,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G9210,서울특별시,강서구,특별시도,,공항대로59다길,1.0,서울특별시 강서구 염창동 272-28,서울특별시 강서구 염창동 272-28,37.55089501,126.8669778,염창우성아파트 302동 앞,1,30,,,,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G9211,서울특별시,강서구,특별시도,,강서로47길,2.0,서울특별시 강서구 강서로47길 108,,37.55356537,126.8305342,마곡수명산파크아파트,2,30,,,,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G9212,서울특별시,강서구,특별시도,,마곡중앙8로1길,1.0,서울특별시 강서구 마곡중앙8로1길 16,,37.56253133,126.8362522,웰스바이오 앞,2,30,,,,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G9213,서울특별시,강서구,특별시도,,마곡중앙10로,2.0,서울특별시 강서구 마곡중앙10로 30,,37.56340309,126.8312303,사이언스파크어린이집 건너편,2,30,,,,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G8910,서울특별시,강서구,특별시도,,까치산로10길,1.0,서울특별시 강서구 까치산로10길 73,,37.54088029,126.847849,화일초교 건너편,1,30,,,2.0,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G8911,서울특별시,강서구,특별시도,,양천로73길,2.0,서울특별시 강서구 양천로73길 5,,37.55189482,126.8715134,삼성하나로아파트 앞,1,30,,,2.0,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G8912,서울특별시,강서구,특별시도,,곰달래로31다길,2.0,서울특별시 강서구 곰달래로31다길 17,,37.533516,126.8522486,신정초교 앞,1,30,,,,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G8913,서울특별시,강서구,특별시도,,강서로46길,1.0,서울특별시 강서구 강서로46길 23,,37.55086512,126.8381642,내발산초교 앞,1,30,,,,2021.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G0571,서울특별시,강서구,고속국도,88,올림픽대로,2.0,서울특별시 강서구 방화동 46-5,서울특별시 강서구 방화동 46-5,37.585127,126.8185107,방화차량기지 앞,1,80,,,,2017.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F9332,서울특별시,강서구,일반국도,48,공항대로,1.0,서울특별시 강서구 공항대로 28,,37.56114636,126.8102805,송정초등학교 건너편,2,50,,,,2016.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F9333,서울특별시,강서구,일반국도,6,공항대로,1.0,서울특별시 강서구 공항대로 653,,37.54733881,126.877417,현대오일뱅크 양화교주유소 앞,2,50,,,,2016.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F9167,서울특별시,강서구,일반국도,6,방화대로,1.0,서울특별시 강서구 방화대로 96,,37.54895804,126.8173096,메이필드호텔 앞 교차로,2,50,,,,2016.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F9168,서울특별시,강서구,일반국도,6,방화대로,2.0,서울특별시 강서구 방화대로 2,,37.54075832,126.8171299,메이필드호텔 앞 교차로 부천방면 전방800m,1,50,,,,2016.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F8437,서울특별시,강서구,특별시도,,방화대로,1.0,서울특별시 강서구 방화동 산 116-9,,37.582501,126.81832,방화터널 북단출구,1,40,,,,2015.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F8438,서울특별시,강서구,특별시도,,방화대로,1.0,서울특별시 강서구 방화대로 408,,37.57707792,126.8171321,강서공고 건너편,2,50,,,,2015.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F8439,서울특별시,강서구,특별시도,,방화대로,2.0,서울특별시 강서구 방화대로 379,,37.57474048,126.8163797,강서공고 앞,2,50,,,,2015.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F8551,서울특별시,강서구,일반국도,6,공항대로,2.0,서울특별시 강서구 공항대로 69,,37.56148292,126.8155337,공항중학교삼거리,2,50,,,,2016.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F7689,서울특별시,강서구,특별시도,,강서로,1.0,서울특별시 강서구 강서로 34,,37.53099372,126.8474429,화곡사거리,2,50,,,,2014.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F7671,서울특별시,강서구,일반국도,6,공항대로,2.0,서울특별시 강서구 공항동 53-44,,37.548558,126.869018,양동중학교 앞,1,50,,,,2014.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F6895,서울특별시,강서구,일반국도,6,공항대로,2.0,서울특별시 강서구 공항대로 414,,37.55510589,126.8535597,강서구청입구 교차로,2,50,,,,2013.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F5866,서울특별시,강서구,특별시도,,방화대로,1.0,서울특별시 강서구 방화대로 319,,37.56919887,126.8161774,송화초등학교 앞,2,50,,,2.0,2010.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F5867,서울특별시,강서구,일반국도,6,공항대로,1.0,서울특별시 강서구 공항대로 521,,37.55156765,126.8644078,등촌삼거리,2,50,,,,2010.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F5868,서울특별시,강서구,특별시도,,강서로,2.0,서울특별시 강서구 강서로 63,,37.5332369,126.845549,화곡터널입구 교차로,2,50,,,,2010.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
F5362,서울특별시,강서구,특별시도,,등촌로,2.0,서울특별시 강서구 등촌로 137,,37.54191308,126.8626072,등마초교 입구,2,50,,,2.0,2009.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G7113,서울특별시,강서구,특별시도,,양천로55길,1.0,서울특별시 강서구 양천로55길 22,,37.56547682,126.8506223,서울서진학교 앞,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G7114,서울특별시,강서구,특별시도,,허준로,1.0,서울특별시 강서구 허준로 198,,37.56129159,126.8602755,가양초교앞 교차로,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G7115,서울특별시,강서구,특별시도,,방화대로47길,1.0,서울특별시 강서구 방화대로47길 43,,37.57591915,126.8146456,치현초교 앞,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G7116,서울특별시,강서구,특별시도,,금낭화로,2.0,서울특별시 강서구 방화동 799,서울특별시 강서구 방화동 799,37.57942097,126.8103512,삼정초교앞 교차로,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G7117,서울특별시,강서구,특별시도,,방화동로,1.0,서울특별시 강서구 방화동로 32,,37.56355917,126.8107297,공항시장역,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G7118,서울특별시,강서구,특별시도,,양천로,2.0,서울특별시 강서구 양천로 13,,37.57368435,126.8056972,대한항공빌딩 앞,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G7119,서울특별시,강서구,특별시도,,방화대로34길,2.0,서울특별시 강서구 방화대로34길 43,,37.57046109,126.8185198,공항고교 앞,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G6848,서울특별시,강서구,특별시도,,양천로,1.0,서울특별시 강서구 양천로 720,,37.54921773,126.8756771,염창동아3차아파트 301동 건너편,2,50,,,,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G6738,서울특별시,강서구,특별시도,,강서로29길,2.0,서울특별시 강서구 강서로29길 52,,37.53891217,126.8390998,신월초교입구,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G6739,서울특별시,강서구,특별시도,,까치산로,1.0,서울특별시 강서구 까치산로 60,,37.54378035,126.8466786,화곡초교 앞,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G6740,서울특별시,강서구,특별시도,,화곡로58길,1.0,서울특별시 강서구 화곡동 1129-29,,37.55246805,126.8542399,송이아파트 건너편,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G6741,서울특별시,강서구,특별시도,,화곡로69길,1.0,서울특별시 강서구 화곡로69길 9,,37.56083782,126.8537794,유석초교 앞,1,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
